source,destination,cost,duration,src_lat,src_lon,dest_lat,dest_lon
JFK,LHR,520,7.0,40.6413,-73.7781,51.4700,-0.4543
LHR,JFK,490,7.5,51.4700,-0.4543,40.6413,-73.7781
JFK,CDG,480,7.2,40.6413,-73.7781,49.0097,2.5479
CDG,JFK,460,7.8,49.0097,2.5479,40.6413,-73.7781
JFK,FRA,510,8.0,40.6413,-73.7781,50.0379,8.5622
FRA,JFK,495,8.5,50.0379,8.5622,40.6413,-73.7781
JFK,AMS,500,7.5,40.6413,-73.7781,52.3086,4.7639
AMS,JFK,480,8.0,52.3086,4.7639,40.6413,-73.7781
JFK,MAD,430,7.8,40.6413,-73.7781,40.4719,-3.5626
MAD,JFK,415,8.2,40.4719,-3.5626,40.6413,-73.7781
JFK,FCO,540,9.0,40.6413,-73.7781,41.8003,12.2389
FCO,JFK,525,9.5,41.8003,12.2389,40.6413,-73.7781
JFK,MIA,180,3.0,40.6413,-73.7781,25.7959,-80.2870
MIA,JFK,175,3.2,25.7959,-80.2870,40.6413,-73.7781
JFK,LAX,320,5.5,40.6413,-73.7781,33.9425,-118.4081
LAX,JFK,310,5.0,33.9425,-118.4081,40.6413,-73.7781
JFK,ORD,190,2.8,40.6413,-73.7781,41.9742,-87.9073
ORD,JFK,185,2.9,41.9742,-87.9073,40.6413,-73.7781
JFK,ATL,210,2.5,40.6413,-73.7781,33.6407,-84.4277
ATL,JFK,200,2.6,33.6407,-84.4277,40.6413,-73.7781
JFK,DFW,280,3.5,40.6413,-73.7781,32.8998,-97.0403
DFW,JFK,270,3.8,32.8998,-97.0403,40.6413,-73.7781
JFK,SEA,350,6.0,40.6413,-73.7781,47.4502,-122.3088
SEA,JFK,340,5.5,47.4502,-122.3088,40.6413,-73.7781
JFK,BOS,120,1.2,40.6413,-73.7781,42.3656,-71.0096
BOS,JFK,115,1.3,42.3656,-71.0096,40.6413,-73.7781
JFK,DEN,290,4.0,40.6413,-73.7781,39.8561,-104.6737
DEN,JFK,280,4.2,39.8561,-104.6737,40.6413,-73.7781
JFK,SFO,340,5.8,40.6413,-73.7781,37.6213,-122.3790
SFO,JFK,330,5.3,37.6213,-122.3790,40.6413,-73.7781
LAX,NRT,850,11.5,33.9425,-118.4081,35.7720,140.3929
NRT,LAX,820,10.5,35.7720,140.3929,33.9425,-118.4081
LAX,PEK,780,12.0,33.9425,-118.4081,40.0799,116.6031
PEK,LAX,760,11.5,40.0799,116.6031,33.9425,-118.4081
LAX,SYD,920,15.5,33.9425,-118.4081,-33.9461,151.1772
SYD,LAX,900,14.5,-33.9461,151.1772,33.9425,-118.4081
LAX,SIN,870,17.5,33.9425,-118.4081,1.3644,103.9915
SIN,LAX,850,16.5,1.3644,103.9915,33.9425,-118.4081
LAX,MEX,320,3.5,33.9425,-118.4081,19.4363,-99.0721
MEX,LAX,310,4.0,19.4363,-99.0721,33.9425,-118.4081
LAX,YVR,180,2.5,33.9425,-118.4081,49.1947,-123.1840
YVR,LAX,170,2.8,49.1947,-123.1840,33.9425,-118.4081
LHR,CDG,120,1.2,51.4700,-0.4543,49.0097,2.5479
CDG,LHR,115,1.3,49.0097,2.5479,51.4700,-0.4543
LHR,FRA,140,1.8,51.4700,-0.4543,50.0379,8.5622
FRA,LHR,135,1.9,50.0379,8.5622,51.4700,-0.4543
LHR,AMS,110,1.1,51.4700,-0.4543,52.3086,4.7639
AMS,LHR,105,1.2,52.3086,4.7639,51.4700,-0.4543
LHR,DXB,450,7.0,51.4700,-0.4543,25.2532,55.3657
DXB,LHR,440,7.5,25.2532,55.3657,51.4700,-0.4543
LHR,BOM,480,9.0,51.4700,-0.4543,19.0896,72.8656
BOM,LHR,465,9.5,19.0896,72.8656,51.4700,-0.4543
LHR,SIN,560,13.0,51.4700,-0.4543,1.3644,103.9915
SIN,LHR,545,13.5,1.3644,103.9915,51.4700,-0.4543
LHR,NRT,680,12.0,51.4700,-0.4543,35.7720,140.3929
NRT,LHR,665,12.5,35.7720,140.3929,51.4700,-0.4543
LHR,JNB,560,11.0,51.4700,-0.4543,-26.1392,28.2460
JNB,LHR,545,11.5,-26.1392,28.2460,51.4700,-0.4543
LHR,GRU,620,11.5,51.4700,-0.4543,-23.4356,-46.4731
GRU,LHR,605,12.0,-23.4356,-46.4731,51.4700,-0.4543
LHR,YYZ,450,7.5,51.4700,-0.4543,43.6777,-79.6248
YYZ,LHR,435,8.0,43.6777,-79.6248,51.4700,-0.4543
FRA,DXB,380,6.5,50.0379,8.5622,25.2532,55.3657
DXB,FRA,370,7.0,25.2532,55.3657,50.0379,8.5622
FRA,PEK,620,10.5,50.0379,8.5622,40.0799,116.6031
PEK,FRA,605,11.0,40.0799,116.6031,50.0379,8.5622
FRA,NRT,640,12.0,50.0379,8.5622,35.7720,140.3929
NRT,FRA,625,12.5,35.7720,140.3929,50.0379,8.5622
FRA,GRU,580,12.0,50.0379,8.5622,-23.4356,-46.4731
GRU,FRA,565,12.5,-23.4356,-46.4731,50.0379,8.5622
FRA,BOM,430,8.5,50.0379,8.5622,19.0896,72.8656
BOM,FRA,415,9.0,19.0896,72.8656,50.0379,8.5622
FRA,SIN,540,12.5,50.0379,8.5622,1.3644,103.9915
